Subject,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A08,13,3.224,3.724,0.5287281852251828,0.3233237360833238,0.4320569668655035,0.6609295424684696,0.7897769619107483
A08,14,3.472,3.972,0.5515943852032821,0.3385293891895845,0.45650814293752606,0.6652849623757646,0.79025970305559
A09,0,0.0,0.5,0.2528161110644014,0.30461814753707117,0.25685143111448167,0.23196446116512345,0.15970841429576635
A09,1,0.248,0.748,0.2126291535402873,0.30075949517266026,0.23030850109804538,0.24043806564344877,0.1616638208946043
A09,2,0.496,0.996,0.22346068260681715,0.2889908635659067,0.2529679472129871,0.2553082667186778,0.1686558334561501
A09,3,0.744,1.244,0.23026767511179924,0.256371113732332,0.27389028223378387,0.25104619392623323,0.16362272066026026
A09,4,0.992,1.492,0.23291558256766612,0.24152851005109544,0.27169249803780904,0.2567639025749759,0.15391178468770542
A09,5,1.24,1.74,0.23820695170056985,0.2481573835399683,0.26979570532825287,0.26031612211620136,0.14853271542317067
A09,6,1.488,1.988,0.22780121316289684,0.23258455422717825,0.25904744656913625,0.2542846243827133,0.1691576721883665
A09,7,1.736,2.236,0.2097414056100718,0.19326178199039523,0.24964802076840448,0.24531262392890238,0.17353031703296648
A09,8,1.984,2.484,0.14195287095162096,0.14707026410649476,0.2119269946186151,0.22271136321025933,0.1464345797079895
A09,9,2.232,2.732,0.13333622140054335,0.140747702376601,0.20259182070219559,0.21899882699899598,0.12964767472833882
A09,10,2.48,2.98,0.18276756269787814,0.172057106513696,0.24361621930305802,0.24919824071322166,0.13639490950744534
A09,11,2.728,3.228,0.2042420195902765,0.19937961203771223,0.26638094194485634,0.26397917688406125,0.14093201034653285
A09,12,2.976,3.476,0.23126402772054802,0.22692160979303375,0.27133564848980124,0.2831865533080331,0.15867987846337725
A09,13,3.224,3.724,0.2278646863303308,0.23498002158423437,0.2694992153137442,0.2829110006520952,0.16650492048839646
A09,14,3.472,3.972,0.23114558105831126,0.2504402932972017,0.26689615177067083,0.27504673857844536,0.17635762775023392
