Subject,Channel,Window_Start_s,Window_End_s,Window_Center_s,Raw_Beta_Power,Clean_Beta_Power,Delta_Beta_Power,Delta_Beta_Percent,Hand_Raw_Beta,Hand_Clean_Beta,Hand_Delta_Beta_Percent,NonHand_Raw_Beta,NonHand_Clean_Beta,NonHand_Delta_Beta_Percent,Delta_Accuracy,Delta_F1
A03,C4,1.9000000000000001,2.4000000000000004,2.1500000000000004,22.06873632845208,8.860995742056886,-13.207740586395193,-59.84819606262247,22.70644784351737,8.704124479626726,-61.66672770830718,21.426335758128953,9.019020469651977,-57.906846175365075,-0.00366300366300365,-0.001569319265132707
A03,C4,2.0,2.5,2.25,22.002552414878114,8.714965161478936,-13.287587253399177,-60.39111737061068,23.38305982548429,8.50071685088512,-63.64583200689364,20.611894214488068,8.930788827297707,-56.67167347957632,-0.00366300366300365,-0.001569319265132707
A03,C4,2.1,2.6,2.35,24.127582458902523,8.87278676486555,-15.254795694036973,-63.22554578363197,25.16330682243824,8.822314402388255,-64.93976541063611,23.084242475046693,8.92363024765518,-61.34319652333695,-0.00366300366300365,-0.001569319265132707
A03,C4,2.2,2.7,2.45,24.191985853692728,8.522606290704315,-15.669379562988413,-64.7709520737695,24.02470655662398,8.263344483724424,-65.60480576839306,24.360495145592857,8.783774434500238,-63.942545576339235,-0.00366300366300365,-0.001569319265132707
A03,C4,2.3000000000000003,2.8000000000000003,2.5500000000000003,21.94472813387573,7.876868264088746,-14.067859869786986,-64.10587446772992,20.771115078578013,7.367078490712708,-64.5320992019796,23.126970696932997,8.390406491680782,-63.72025285268562,-0.00366300366300365,-0.001569319265132707
A03,C4,2.4000000000000004,2.9000000000000004,2.6500000000000004,25.062054900527805,9.244122321557846,-15.817932578969959,-63.11506634931533,24.73269976934823,8.858939297008297,-64.18126860542992,25.393831760613118,9.632137574229084,-62.06898720511755,-0.00366300366300365,-0.001569319265132707
A03,C4,2.5,3.0,2.75,25.35923051869119,9.719046483942387,-15.640184034748804,-61.67452132753437,25.497526897372218,9.46126776570009,-62.893390391225864,25.219917254872808,9.97872063393647,-60.433174569561864,-0.00366300366300365,-0.001569319265132707
A03,C4,2.6,3.1,2.85,25.713688638459626,9.785695942976217,-15.92799269548341,-61.94363212308684,25.103785158726648,9.468817757562288,-62.281314559965026,26.328076702602406,10.104904115047603,-61.61928488286127,-0.00366300366300365,-0.001569319265132707
A03,C4,2.7,3.2,2.95,22.61431416022904,8.741185804912854,-13.873128355316185,-61.34666856142975,20.713123661853693,7.881745493242575,-61.94805949158704,24.5294840005042,9.606945530639534,-60.835109574901516,-0.00366300366300365,-0.001569319265132707
A03,C4,2.8000000000000003,3.3000000000000003,3.0500000000000003,24.42673741806741,9.311606121392732,-15.11513129667468,-61.87945216742152,23.129776268306852,8.385415305894862,-63.746232524588564,25.73323504687033,10.244607163475147,-60.189198346746174,-0.00366300366300365,-0.001569319265132707
A03,C4,2.9000000000000004,3.4000000000000004,3.1500000000000004,21.50250676130499,8.058667730734143,-13.443839030570846,-62.522194178605325,21.497054780652306,7.508004734603192,-65.07426337602062,21.50799883005071,8.613379719483707,-59.952667900236264,-0.00366300366300365,-0.001569319265132707
A03,C4,3.0,3.5,3.25,24.081147051219087,8.72962407549626,-15.351522975722828,-63.74913513492984,23.802295529878368,8.047022830776193,-66.19224048926296,24.362048951393188,9.417244447015735,-61.34461241004446,-0.00366300366300365,-0.001569319265132707
A03,C4,3.1,3.6,3.35,22.13845524365327,8.187698448328227,-13.950756795325042,-63.015945068364665,21.510477270474723,7.493826182781172,-65.16197158922552,22.77105070192872,8.886672715827832,-60.97381349611977,-0.00366300366300365,-0.001569319265132707
A03,C4,3.2,3.7,3.45,22.139409352679117,8.251075370012337,-13.88833398266678,-62.731275985852506,21.30674535461512,7.65522996763487,-64.07133121353648,22.978195880140635,8.851301988583756,-61.479560733339945,-0.00366300366300365,-0.001569319265132707
A03,C4,3.3000000000000003,3.8000000000000003,3.5500000000000003,21.098280766169335,8.055082635380723,-13.043198130788612,-61.82114208899483,20.522939122246896,7.485598467231076,-63.52569959574321,21.677852863355913,8.628754187119705,-60.195531164870616,-0.00366300366300365,-0.001569319265132707
A03,C4,3.4000000000000004,3.9000000000000004,3.6500000000000004,23.9317873491899,8.813144769013407,-15.118642580176493,-63.173896540110555,23.331906229614557,7.960845944080601,-65.88000197782333,24.53607935935036,9.67171049707072,-60.58167910438811,-0.00366300366300365,-0.001569319265132707
A03,C4,3.5,4.0,3.75,22.326516671259288,8.097553005737284,-14.228963665522004,-63.7312298870106,21.896015379790924,7.450913193153085,-65.97137395130825,22.760183413400206,8.748947522825778,-61.5602942915004,-0.00366300366300365,-0.001569319265132707
A04,C3,0.0,0.5,0.25,10.019109266425096,9.111920505334433,-0.9071887610906622,-9.054584963263455,10.24451104401063,9.324610602469933,-8.979447018884418,9.785657425354364,8.89163433330124,-9.136055486029322,-0.02631578947368418,-0.027482121801537418
A04,C3,0.1,0.6,0.35,10.176367582719974,8.790701705149095,-1.3856658775708794,-13.616507720532967,10.717708634679614,9.411005717626253,-12.191998883280169,9.615692921761775,8.148243977940611,-15.260979689774661,-0.02631578947368418,-0.027482121801537418
A04,C3,0.2,0.7,0.44999999999999996,10.733917039570985,8.924288372333839,-1.8096286672371455,-16.858977580745986,10.919242092332965,9.3153311312509,-14.68884880030514,10.541973234924646,8.51927980059831,-19.187047711573832,-0.02631578947368418,-0.027482121801537418
A04,C3,0.30000000000000004,0.8,0.55,10.767956491999202,9.10916002903365,-1.6587964629655527,-15.404932813371508,10.901888305619934,9.290312231021572,-14.782540688548362,10.629241399320582,8.92153810554616,-16.066088158309945,-0.02631578947368418,-0.027482121801537418
A04,C3,0.4,0.9,0.65,11.557857266027447,9.867848354938321,-1.6900089110891265,-14.62216457765618,11.648093396590978,9.903560118741204,-14.976985661536185,11.464398416515223,9.83086117099962,-14.24878293798988,-0.02631578947368418,-0.027482121801537418
A04,C3,0.5,1.0,0.75,12.754641317795762,10.893266643580697,-1.8613746742150656,-14.593704580449508,12.443938757198978,10.697527896161514,-14.034228993831583,13.076440398413862,11.09599606055057,-15.145133365984783,-0.02631578947368418,-0.027482121801537418
A04,C3,0.6000000000000001,1.1,0.8500000000000001,12.593635883401165,10.68136976641564,-1.9122661169855242,-15.18438467405553,12.326074629516835,10.602163357679546,-13.985890266387788,12.870752896352789,10.763404975463741,-16.373151888311142,-0.02631578947368418,-0.027482121801537418
A04,C3,0.7000000000000001,1.2000000000000002,0.9500000000000002,11.578963097239562,9.882601182733524,-1.6963619145060385,-14.650378451507917,11.866613400897199,10.248270253563376,-13.63778436745453,11.281039568451297,9.503872502231179,-15.753575328200839,-0.02631578947368418,-0.027482121801537418
A04,C3,0.8,1.3,1.05,11.560998942270944,9.859895167500522,-1.7011037747704219,-14.714159072799566,11.791341389045758,10.156653860779489,-13.863456873404632,11.32242997953988,9.552537949461595,-15.631733057979218,-0.02631578947368418,-0.027482121801537418
A04,C3,0.9,1.4,1.15,12.056851022543226,10.204754696349177,-1.852096326194049,-15.361360298232954,12.07992910075978,10.277887627088516,-14.917649421948372,12.032948727247502,10.129009875226288,-15.822712247663123,-0.02631578947368418,-0.027482121801537418
A04,C3,1.0,1.5,1.25,12.078771553507016,10.373749456350543,-1.7050220971564727,-14.115856812122813,12.411329688617366,10.607485793125708,-14.533848836083962,11.734336342142724,10.131665393261983,-13.657959872216246,-0.02631578947368418,-0.027482121801537418
A04,C3,1.1,1.6,1.35,11.223313922473919,9.70825634173894,-1.5150575807349789,-13.499199890517003,11.91110348798568,10.352300577664046,-13.086973107856414,10.510960443908166,9.041210525959366,-13.983022063417833,-0.02631578947368418,-0.027482121801537418
A04,C3,1.2000000000000002,1.7000000000000002,1.4500000000000002,11.297810311197596,9.565728260978744,-1.7320820502188514,-15.331130568745108,11.88574164033471,10.194064437382965,-14.232828326092624,10.688881434591298,8.9149515068458,-16.59602960890479,-0.02631578947368418,-0.027482121801537418
A04,C3,1.3,1.8,1.55,10.61261826825141,8.917422716456672,-1.695195551794738,-15.973396092706604,10.920358573860742,9.217261467417089,-15.59561524399237,10.293887237441746,8.606875438676237,-16.388481434198884,-0.02631578947368418,-0.027482121801537418
A04,C3,1.4000000000000001,1.9000000000000001,1.6500000000000001,10.52333480893112,8.806275862084652,-1.7170589468464676,-16.316680767290663,10.614931583881152,8.971007596316745,-15.48690139520745,10.428466720590015,8.63566085162998,-17.19146176513475,-0.02631578947368418,-0.027482121801537418
A04,C3,1.5,2.0,1.75,10.075674004862607,8.408756711569485,-1.6669172932931229,-16.5439780255758,10.03882569115312,8.479521433669417,-15.532735655106208,10.113838329776003,8.335464677965984,-17.583568115522823,-0.02631578947368418,-0.027482121801537418
A04,C3,1.6,2.1,1.85,10.430880934450064,8.653255873654821,-1.777625060795243,-17.041945660833708,10.468512607774514,8.697881277012726,-16.91387685244622,10.391905272792597,8.607036705891277,-17.175566174321716,-0.02631578947368418,-0.027482121801537418
A04,C3,1.7000000000000002,2.2,1.9500000000000002,10.39060922705116,8.691282099903363,-1.6993271271477965,-16.35445131286169,10.685277786014916,8.899879687456124,-16.708953518228167,10.085416790981556,8.475234598509433,-15.965450172688536,-0.02631578947368418,-0.027482121801537418
A04,C3,1.8,2.3,2.05,10.600527893733027,8.88151105362182,-1.7190168401112071,-16.2163324066859,10.726240667714993,8.893941808698832,-17.082395554774504,10.470325377823132,8.868636343006338,-15.297414139672114,-0.02631578947368418,-0.027482121801537418
A04,C3,1.9000000000000001,2.4000000000000004,2.1500000000000004,9.406552018158939,8.105885519761744,-1.3006664983971952,-13.827239735519617,9.128102124410072,7.713203217683258,-15.500471921136128,9.694946550970261,8.512592189771604,-12.195573796952267,-0.02631578947368418,-0.027482121801537418
A04,C3,2.0,2.5,2.25,8.739786444573777,7.726386230094282,-1.0134002144794954,-11.595251450436521,8.239593318008351,7.106511399435464,-13.751672865897863,9.257843611373684,8.368399447562343,-9.607465854344504,-0.02631578947368418,-0.027482121801537418
A04,C3,2.1,2.6,2.35,9.288114130767802,7.866604479723527,-1.4215096510442748,-15.304610075099989,8.497739521034346,7.123027555932796,-16.1773841349072,10.106716405134597,8.636737722221067,-14.54457238126049,-0.02631578947368418,-0.027482121801537418
A04,C3,2.2,2.7,2.45,9.61381579441117,7.937208740503545,-1.6766070539076257,-17.439558753375458,8.443013431504166,7.007780429762546,-16.999060979652217,10.826432527421995,8.899830919485295,-17.79535043567546,-0.02631578947368418,-0.027482121801537418
A04,C3,2.3000000000000003,2.8000000000000003,2.5500000000000003,9.23278648464121,7.7083846008495165,-1.5244018837916933,-16.510745551492434,8.393859059982866,7.001159909701128,-16.59188152111504,10.101675603037352,8.440867316681777,-16.44091882990389,-0.02631578947368418,-0.027482121801537418
